Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
1 /get_method,250,810,85,7106,1223.01,0.000%,31.67363,5.85,4.70,189.0
2 /user_info_2,250,885,86,5614,1124.07,0.000%,31.64557,14.74,7.70,477.0
3 /user_info_3,250,859,87,7103,1148.37,0.000%,31.67765,11.88,7.70,384.0
4 /object_info_1,250,821,86,7120,992.29,0.000%,25.23468,6.09,4.09,247.0
5 /object_info_2,250,649,86,7120,840.64,0.000%,25.72811,12.39,4.20,493.0
6 /object_info_3,250,535,86,7114,821.98,0.000%,26.18349,13.71,4.27,536.0
7 /object_info_4,250,413,86,7108,616.67,0.000%,26.47183,6.62,4.32,256.0
TOTAL,1750,710,85,7120,1001.64,0.000%,166.00266,59.80,30.50,368.9
