Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
1 /get_method,50,817,86,7113,1319.98,0.000%,6.67557,1.23,0.99,189.0
2 /user_info_2,50,811,88,4461,986.78,0.000%,6.67735,3.11,1.62,477.0
3 /user_info_3,50,732,88,7122,1092.38,0.000%,4.97611,1.87,1.21,384.0
4 /object_info_1,50,614,86,3557,708.80,0.000%,4.98952,1.20,0.81,247.0
5 /object_info_2,50,664,86,4465,864.12,0.000%,5.07305,2.44,0.83,493.0
6 /object_info_3,50,508,85,3225,546.68,0.000%,5.15039,2.70,0.84,536.0
7 /object_info_4,50,442,86,1517,424.63,0.000%,5.23013,1.31,0.85,256.0
TOTAL,350,655,85,7122,907.34,0.000%,33.02510,11.90,6.07,368.9
